no.	gen	evalFit	result	time(ms)
1	2490	15005	19	46480
2	2489	15003	19	46868
3	2490	15004	19	50538
4	2491	15002	20	48330
5	2489	15001	19	47242
6	2490	15005	18	46889
7	2490	15005	18	44824
8	2490	15005	18	45804
9	2490	15003	18	49633
10	2489	15001	18	49477
11	2489	15001	18	49638
12	2490	15001	19	46721
13	2489	15001	19	48765
14	2490	15005	19	48327
15	2489	15004	19	45827
16	2490	15002	19	45262
17	2489	15005	18	47177
18	2490	15003	19	45905
19	2489	15002	18	44369
20	2489	15002	20	44903
21	2490	15004	18	51538
22	2490	15006	18	48044
23	2490	15004	19	52581
24	2489	15001	19	48952
25	2489	15005	18	47389
26	2490	15001	19	46494
27	2490	15006	18	46892
28	2489	15003	18	47170
29	2490	15006	19	46001
30	2489	15003	19	44965
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
2500	5	6393	3.73999	21	30	3	5	5	100	0.5	20	18.6333	18	15003	0%	47433.5
no.	gen	evalFit	result	time(ms)
1	333	2011	9	11300
2	315	1901	9	10507
3	296	1784	9	10064
4	292	1763	9	9974
5	287	1728	9	10378
6	307	1852	9	10341
7	289	1740	9	9795
8	335	2021	9	10784
9	292	1760	9	9980
10	325	1959	9	10983
11	333	2006	9	10798
12	284	1710	9	9865
13	323	1949	9	10667
14	292	1759	9	10084
15	425	2565	9	13436
16	298	1795	9	10168
17	314	1896	9	10730
18	318	1918	9	10607
19	313	1888	9	10684
20	283	1705	9	9759
21	331	1995	9	10778
22	340	2049	9	11192
23	288	1736	9	9939
24	266	1604	9	9402
25	292	1758	9	10033
26	280	1690	9	10249
27	271	1632	9	9642
28	323	1948	9	11842
29	300	1808	9	10955
30	324	1956	9	10982
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
2500	5	6392	8.72665	9	30	3	5	5	100	0.5	9	9	9	1862	100%	10530.6
no.	gen	evalFit	result	time(ms)
1	766	4619	17	18119
2	1141	6872	17	24147
3	824	4967	17	19105
4	745	4491	17	17290
5	794	4781	17	17943
6	784	4721	17	17932
7	826	4979	17	18258
8	925	5576	17	20303
9	753	4534	17	17391
10	809	4877	17	19059
11	747	4501	17	17100
12	873	5257	17	19228
13	786	4734	17	18123
14	798	4803	17	18714
15	793	4778	17	18303
16	829	4997	17	19036
17	696	4194	17	17188
18	944	5688	17	20752
19	680	4096	17	16090
20	782	4710	17	17711
21	921	5551	17	20531
22	745	4486	17	17227
23	1241	7478	17	26806
24	730	4395	17	18656
25	917	5527	17	20396
26	741	4458	17	17269
27	834	5023	17	18894
28	837	5043	17	19168
29	773	4656	17	17908
30	930	5604	17	19986
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
2500	5	6391	4.61999	17	30	3	5	5	100	0.5	17	17	17	5013	100%	18954.4
