no.	gen	evalFit	result	time(ms)
1	1533	9233	47	25024
2	1170	7043	47	20269
3	1154	6943	47	19682
4	1009	6078	47	18765
5	1101	6635	47	19125
6	1258	7578	47	21360
7	1266	7623	47	21750
8	985	5928	47	16954
9	1009	6078	47	17414
10	1058	6374	47	18156
11	1180	7108	47	19407
12	1412	8508	47	23113
13	1855	11178	47	28269
14	1102	6638	47	17995
15	896	5391	47	15323
16	1278	7698	47	19972
17	1067	6429	47	17360
18	879	5291	47	15156
19	938	5648	47	16507
20	1026	6177	47	16882
21	1251	7536	47	19786
22	1390	8371	47	21569
23	1182	7121	47	18738
24	1295	7803	47	20678
25	1209	7283	47	20019
26	1692	10193	47	26008
27	1038	6254	47	17818
28	910	5483	47	16105
29	948	5710	47	16951
30	1461	8798	47	23538
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
2500	8	2500	4.27791	47	30	3	5	5	100	0.5	47	47	47	7137	100%	19656.4
no.	gen	evalFit	result	time(ms)
1	910	5486	39	18614
2	870	5235	39	17632
3	923	5561	39	18452
4	859	5177	39	19491
5	715	4307	39	15864
6	969	5839	39	19528
7	1054	6352	39	20627
8	871	5246	39	17786
9	740	4458	39	16250
10	792	4773	39	16996
11	699	4210	39	15986
12	812	4895	39	17323
13	833	5024	39	19173
14	1063	6404	39	21038
15	957	5766	39	19037
16	984	5933	39	20855
17	741	4460	39	15992
18	1304	7862	39	24616
19	925	5578	39	18411
20	988	5949	39	20296
21	970	5846	39	19471
22	1091	6575	39	20367
23	744	4477	39	15007
24	839	5056	39	16564
25	845	5092	39	16836
26	776	4675	39	15437
27	894	5387	39	16896
28	923	5559	39	17417
29	822	4952	39	15941
30	815	4906	39	16501
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
2500	8	2500	5.15543	39	30	3	5	5	100	0.5	39	39	39	5368	100%	18146.8
no.	gen	evalFit	result	time(ms)
1	887	5341	46	16911
2	1003	6043	46	18372
3	914	5503	46	17192
4	1118	6736	46	20047
5	1401	8445	46	23894
6	956	5760	46	17521
7	856	5154	46	16189
8	960	5782	46	17526
9	1101	6634	46	19335
10	1154	6954	46	20320
11	885	5328	46	16603
12	1209	7281	46	21413
13	940	5660	46	17439
14	881	5303	46	16643
15	871	5243	46	16350
16	1401	8447	46	23423
17	1012	6096	46	18276
18	909	5482	46	16795
19	928	5588	46	17987
20	1108	6675	46	20047
21	880	5300	46	17507
22	924	5566	46	18459
23	984	5921	46	18226
24	1001	6034	46	18408
25	1006	6063	46	19715
26	1528	9206	46	25737
27	1020	6147	46	19318
28	962	5798	46	18774
29	1032	6217	46	21241
30	909	5475	46	17219
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
2500	8	2500	4.37091	46	30	3	5	5	100	0.5	46	46	46	6172	100%	18896.2
