no.	gen	evalFit	result	time(ms)
1	1645	9904	82	73728
2	1494	8987	82	66471
3	1869	11256	82	78026
4	1950	11746	82	80339
5	1544	9296	82	67491
6	1526	9188	82	68172
7	1726	10394	82	73186
8	1513	9109	82	65114
9	2007	12086	82	78884
10	1792	10787	82	72257
11	1522	9158	82	65482
12	1796	10812	82	72856
13	1586	9554	82	67186
14	1613	9719	82	68072
15	1640	9872	82	69791
16	1663	10010	82	69964
17	1617	9740	82	68428
18	1543	9283	82	67617
19	1686	10145	82	70500
20	1556	9367	82	66786
21	1593	9590	82	67907
22	1901	11440	82	76423
23	1524	9178	82	67653
24	1565	9415	82	67188
25	1801	10850	82	73881
26	1552	9339	82	68663
27	1901	11450	82	76137
28	1470	8845	82	65475
29	1641	9881	82	71000
30	1575	9483	82	67110
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
5000	8	2500	4.90395	82	30	3	5	5	100	0.5	82	82	82	9996	100%	70392.9
no.	gen	evalFit	result	time(ms)
1	1954	11771	83	75983
2	2168	13059	83	82935
3	2131	12843	83	81457
4	2402	14466	83	89171
5	2295	13821	83	84195
6	2490	15003	82	90516
7	1997	12027	83	76418
8	1902	11456	83	76494
9	1881	11332	83	78057
10	1923	11585	83	79597
11	1915	11529	83	81685
12	2307	13902	83	94246
13	2371	14280	83	95369
14	2054	12376	83	82997
15	2219	13367	83	88144
16	1979	11917	83	80726
17	1892	11387	83	78318
18	2193	13207	83	87976
19	1810	10903	83	79205
20	1863	11217	83	78546
21	2418	14561	83	99673
22	1901	11450	83	81656
23	1968	11854	83	81432
24	2201	13258	83	88974
25	2491	15004	82	97770
26	1934	11647	83	77890
27	2001	12048	83	79984
28	2032	12232	83	82471
29	1881	11324	83	75742
30	2375	14300	83	91296
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
5000	8	2500	4.84487	83	30	3	5	5	100	0.5	83	82.9333	82	12637	93.3333%	83964.1
