no.	gen	evalFit	result	time(ms)
1	15	95	6	8
2	15	94	6	5
3	15	94	6	4
4	17	107	6	6
5	16	101	6	4
6	14	89	6	4
7	15	94	6	6
8	17	108	6	6
9	15	95	6	4
10	17	106	6	6
11	18	112	6	6
12	20	124	6	7
13	19	118	6	6
14	15	94	6	6
15	15	94	6	5
16	15	94	6	5
17	16	100	6	4
18	15	94	6	6
19	15	94	6	6
20	17	106	6	5
21	16	100	6	5
22	15	94	6	5
23	15	95	6	5
24	17	108	6	6
25	16	101	6	5
26	15	94	6	5
27	15	96	6	5
28	15	96	6	5
29	18	113	6	6
30	17	106	6	6
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
140	15	90	6.59734	6	30	3	5	5	100	0.5	6	6	6	100	100%	5.4
