no.	gen	evalFit	result	time(ms)
1	2143	12906	37	82301
2	2492	15003	36	88222
3	2490	15002	36	86937
4	2491	15002	36	89205
5	2365	14238	37	84607
6	2491	15003	35	98374
7	2491	15004	36	96837
8	2491	15005	35	95060
9	2491	15001	36	99649
10	2490	15002	36	95980
11	2344	14117	37	92033
12	2492	15005	36	98139
13	2490	15001	36	95530
14	2370	14274	37	96087
15	2490	15003	35	96816
16	2491	15003	36	96430
17	2491	15002	36	98488
18	2491	15004	36	99721
19	2491	15003	36	97615
20	2492	15006	36	99798
21	2490	15001	36	100559
22	2491	15002	36	97321
23	2491	15006	36	98276
24	2491	15005	35	96038
25	2285	13764	37	91221
26	2492	15006	36	95216
27	2490	15003	36	96518
28	2474	14905	37	97025
29	2490	15005	35	96534
30	2492	15004	36	97145
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
5000	5	6400	4.2454	37	30	3	5	5	100	0.5	37	36.0333	35	14809	20%	95122.7
no.	gen	evalFit	result	time(ms)
1	2301	13869	27	98464
2	1373	8271	27	68766
3	1569	9452	27	77150
4	1411	8502	27	70045
5	1276	7687	27	64494
6	1294	7793	27	75279
7	1683	10141	27	80766
8	1242	7485	27	66726
9	1335	8037	27	68689
10	1279	7703	27	68964
11	1233	7429	27	69282
12	1326	7986	27	66617
13	1192	7171	27	62678
14	1234	7436	27	63693
15	1230	7404	27	63700
16	1365	8217	27	65906
17	1279	7700	27	64242
18	1468	8842	27	69029
19	1474	8877	27	69147
20	1427	8586	27	67619
21	1179	7100	27	60969
22	1390	8371	27	65668
23	1326	7984	27	64229
24	1271	7654	27	63074
25	1742	10499	27	74151
26	1272	7658	27	60554
27	1299	7825	27	61004
28	1583	9536	27	69384
29	1486	8953	27	66721
30	1242	7477	27	59167
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
5000	5	6400	5.81776	27	30	3	5	5	100	0.5	27	27	27	8388	100%	68205.9
no.	gen	evalFit	result	time(ms)
1	2489	15001	23	89327
2	1785	10749	24	67316
3	1877	11308	24	69512
4	2155	12983	24	77970
5	2199	13252	24	77980
6	1795	10805	24	68766
7	2000	12045	24	74568
8	1828	11013	24	69471
9	1638	9864	24	66206
10	1794	10802	24	70393
11	1697	10219	24	66621
12	2491	15001	23	92100
13	1879	11314	24	71541
14	1766	10643	24	70212
15	1799	10835	24	66988
16	1643	9894	24	71673
17	1735	10456	24	72796
18	2491	15005	23	91075
19	1967	11854	24	67423
20	2490	15004	23	82317
21	1683	10136	24	61769
22	1866	11239	24	67655
23	1896	11418	24	68510
24	2138	12877	24	73756
25	1757	10584	24	67751
26	1603	9654	24	64017
27	1833	11034	24	67330
28	1754	10558	24	66429
29	1976	11908	24	72319
30	1881	11326	24	70974
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
5000	5	6396	6.54498	24	30	3	5	5	100	0.5	24	23.8667	23	11626	86.6667%	72158.8
no.	gen	evalFit	result	time(ms)
1	1331	8017	30	67589
2	1714	10324	30	80662
3	1443	8690	30	70468
4	1841	11092	30	80576
5	2127	12815	30	91077
6	1508	9087	30	70052
7	1439	8666	30	71038
8	1312	7902	30	66129
9	1623	9774	30	74693
10	1694	10199	30	76382
11	1510	9092	30	72754
12	1666	10034	30	78790
13	1330	8007	30	70680
14	1400	8425	30	70548
15	1708	10289	30	77623
16	1324	7975	30	67895
17	1702	10259	30	81295
18	1889	11380	30	82753
19	1620	9753	30	76643
20	1637	9859	30	75042
21	1342	8082	30	65252
22	1338	8058	30	66665
23	2086	12573	30	91374
24	1600	9631	30	77280
25	1362	8197	30	68962
26	1580	9516	30	74513
27	1565	9425	30	74145
28	1355	8158	30	67692
29	1382	8323	30	68146
30	1613	9713	30	77709
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
5000	5	6400	5.23599	30	30	3	5	5	100	0.5	30	30	30	9443	100%	74480.9
no.	gen	evalFit	result	time(ms)
1	1483	8929	28	72024
2	1429	8604	28	68743
3	1410	8489	28	66614
4	1237	7449	28	59271
5	1353	8144	28	1083246
6	1280	7707	28	58324
7	1523	9169	28	70520
8	1254	7552	28	61888
9	1416	8534	28	67311
10	1340	8073	28	64121
11	1288	7751	28	62339
12	1431	8616	28	66906
13	1263	7599	28	60922
14	1298	7813	28	63113
15	1453	8746	28	68219
16	1290	7766	28	63957
17	1333	8027	28	64037
18	1335	8045	28	64289
19	1279	7696	28	62150
20	1286	7748	28	62297
21	1364	8218	28	64399
22	1281	7713	28	62661
23	1557	9379	28	70579
24	1582	9533	28	71379
25	1439	8672	28	67263
26	1361	8198	28	65890
27	1318	7936	28	63208
28	1548	9326	28	70071
29	1291	7767	28	62849
30	1440	8669	28	67649
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
5000	5	6399	5.60999	28	30	3	5	5	100	0.5	28	28	28	8262	100%	99208
no.	gen	evalFit	result	time(ms)
1	1614	9715	32	73424
2	1734	10447	32	75088
3	1589	9568	32	70277
4	1710	10305	32	75103
5	2003	12061	32	87981
6	1520	9147	32	69568
7	1759	10594	32	76162
8	1856	11188	32	78081
9	1627	9798	32	72105
10	2490	15003	31	97771
11	1653	9959	32	72756
12	1908	11493	32	82533
13	1767	10642	32	74945
14	2312	13933	32	96161
15	1531	9221	32	71586
16	1558	9378	32	73904
17	2004	12071	32	84151
18	1654	9956	32	73254
19	1555	9365	32	73328
20	1759	10596	32	77943
21	1563	9415	32	68847
22	1782	10735	32	79006
23	1657	9981	32	73688
24	1602	9649	32	73783
25	2478	14930	32	98658
26	1588	9558	32	72225
27	1720	10362	32	77442
28	1650	9931	32	72624
29	2173	13092	32	88774
30	1641	9885	32	77162
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
5000	5	6399	4.90874	32	30	3	5	5	100	0.5	32	31.9667	31	10732	96.6667%	77944.3
no.	gen	evalFit	result	time(ms)
1	1870	11258	35	81555
2	1896	11418	35	81849
3	1745	10501	35	76022
4	2375	14300	35	93780
5	1751	10542	35	77338
6	2014	12125	35	87742
7	2025	12183	35	84763
8	2023	12183	35	80084
9	1693	10191	35	69925
10	1935	11656	35	75867
11	1789	10762	35	76027
12	1887	11361	35	80379
13	1841	11085	35	79390
14	1944	11700	35	78978
15	1845	11113	35	76031
16	1869	11256	35	78776
17	1946	11721	35	81598
18	1931	11630	35	80008
19	1871	11268	35	81698
20	2122	12781	35	91302
21	1880	11323	35	84860
22	1819	10964	35	81235
23	1746	10516	35	78685
24	1756	10570	35	77999
25	1739	10467	35	81283
26	1859	11192	35	84165
27	2161	13017	35	93033
28	1721	10361	35	79093
29	1795	10807	35	80333
30	1921	11570	35	75406
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
5000	5	6400	4.48799	35	30	3	5	5	100	0.5	35	35	35	11394	100%	80973.5
no.	gen	evalFit	result	time(ms)
1	1480	8903	32	64400
2	1678	10106	32	69571
3	1579	9506	32	67598
4	2007	12090	32	87535
5	1552	9349	32	72794
6	1779	10712	32	82225
7	1556	9366	32	73582
8	1738	10472	32	78812
9	1644	9902	32	81582
10	1742	10496	32	82221
11	1586	9547	32	77568
12	1533	9233	32	70588
13	1658	9981	32	73228
14	1498	9017	32	69190
15	1645	9905	32	74859
16	1667	10039	32	72929
17	1721	10364	32	75688
18	1560	9391	32	69797
19	1807	10886	32	77395
20	1575	9482	32	69957
21	1844	11108	32	77465
22	1682	10135	32	73702
23	1738	10469	32	75085
24	1450	8732	32	67135
25	2109	12706	32	85332
26	1586	9547	32	69524
27	1650	9936	32	73127
28	1838	11074	32	78268
29	1775	10691	32	78458
30	1881	11329	32	79324
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
5000	5	6400	4.90874	32	30	3	5	5	100	0.5	32	32	32	10149	100%	74964.6
no.	gen	evalFit	result	time(ms)
1	1874	11287	24	68772
2	1882	11332	24	71731
3	1695	10209	24	61421
4	1836	11057	24	67596
5	1841	11090	24	68689
6	2042	12308	24	72964
7	2490	15003	23	84453
8	1591	9584	24	60916
9	2032	12239	24	73002
10	1534	9239	24	58957
11	1745	10508	24	66499
12	1848	11132	24	64794
13	1966	11840	24	69000
14	1956	11781	24	72490
15	2035	12256	24	73152
16	1767	10643	24	66726
17	2233	13453	24	77973
18	2295	13826	24	80421
19	1691	10185	24	62692
20	1852	11155	24	66869
21	2445	14731	24	83912
22	1739	10473	24	63434
23	2081	12534	24	72977
24	1665	10027	24	61907
25	1834	11046	24	67568
26	1770	10660	24	65147
27	1737	10464	24	64616
28	2050	12350	24	72635
29	1867	11246	24	67553
30	1982	11936	24	70229
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
5000	5	6396	6.54498	24	30	3	5	5	100	0.5	24	23.9667	23	11519	96.6667%	69303.2
