no.	gen	evalFit	result	time(ms)
1	7477	45003	282	989360
2	7476	45006	282	968231
3	7475	45001	283	1521268
4	7474	45004	283	944200
5	7476	45004	281	32206782
6	7475	45006	281	948107
7	7473	45006	283	944753
8	7478	45003	282	945107
9	7474	45001	282	904489
10	7472	45002	281	902211
11	7475	45003	282	1643895
12	7477	45006	282	952964
13	7474	45004	282	963767
14	7472	45002	283	1022856
15	7475	45003	282	968233
16	7475	45004	280	1014319
17	7473	45002	281	1700639
18	7474	45002	283	948881
19	7476	45004	282	928835
20	7394	44514	284	913832
21	7475	45003	282	8959005
22	7475	45006	282	971628
23	7474	45003	282	984948
24	7473	45003	282	994656
25	7476	45003	281	1001897
26	7476	45004	280	992356
27	7309	43990	284	947233
28	7473	45006	280	967623
29	7474	45001	281	971906
30	7475	45006	281	923096
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
15000	8	2500	4.24779	284	30	3	5	5	100	0.5	284	281.867	280	44953	6.66667%	2.3349e+06
