no.	gen	evalFit	result	time(ms)
1	451	2720	15	2658
2	634	3822	15	3248
3	1633	9851	15	7777
4	1128	6803	15	5602
5	1752	10565	15	8363
6	2488	15004	14	11774
7	2488	15002	14	11719
8	611	3687	15	3141
9	299	1804	15	1686
10	501	3023	15	2583
11	636	3837	15	3187
12	365	2202	15	1968
13	509	3072	15	2610
14	1207	7281	15	5931
15	881	5313	15	4725
16	369	2225	15	1980
17	1638	9874	15	8054
18	2488	15001	14	11843
19	814	4910	15	4020
20	2127	12829	15	10246
21	607	3662	15	3084
22	914	5514	15	4480
23	921	5557	15	4521
24	1013	6111	15	4913
25	333	2009	15	1807
26	315	1900	15	1735
27	1618	9756	15	7831
28	2488	15002	14	11653
29	706	4261	15	3573
30	998	6017	15	4790
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
800	8	2488	4.28932	15	30	3	5	5	100	0.5	15	14.8667	14	6620	86.6667%	5383.4
no.	gen	evalFit	result	time(ms)
1	614	3706	15	3536
2	323	1948	15	1782
3	2132	12857	15	10175
4	447	2693	15	2372
5	570	3440	15	2872
6	497	2996	15	2675
7	399	2407	15	2164
8	679	4093	15	3497
9	2489	15006	14	12093
10	587	3541	15	3059
11	2488	15003	14	11917
12	1462	8818	15	7928
13	1854	11182	15	9974
14	1008	6078	15	4828
15	1474	8887	15	6780
16	480	2893	15	2514
17	683	4119	15	3299
18	707	4265	15	3404
19	2488	15001	14	11578
20	468	2825	15	2311
21	2488	15004	14	11250
22	1537	9269	15	7244
23	1068	6439	15	5125
24	2488	15002	14	11462
25	684	4124	15	3315
26	317	1914	15	1694
27	1708	10300	15	7962
28	2488	15004	14	11511
29	2489	15006	14	11419
30	1227	7399	15	5688
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
800	8	2488	4.28932	15	30	3	5	5	100	0.5	15	14.7667	14	7707	76.6667%	6180.93
no.	gen	evalFit	result	time(ms)
1	699	4216	15	3924
2	1150	6934	15	5664
3	2489	15005	14	11684
4	305	1842	15	1707
5	510	3075	15	2679
6	2216	13367	15	10530
7	1770	10671	15	8446
8	1735	10463	15	8223
9	1260	7598	15	6036
10	2488	15004	14	11787
11	2415	14564	15	11462
12	725	4371	15	3710
13	388	2337	15	2168
14	2488	15001	14	12027
15	2306	13909	15	10998
16	501	3021	15	2634
17	1613	9728	15	7662
18	393	2370	15	2197
19	528	3183	15	2796
20	343	2072	15	1889
21	529	3189	15	2739
22	305	1840	15	1774
23	1340	8081	15	6377
24	564	3401	15	2910
25	1508	9098	15	7266
