no.	gen	evalFit	result	time(ms)
1	172	1038	10	983
2	159	960	10	937
3	146	882	10	759
4	147	887	10	749
5	143	864	10	727
6	144	869	10	732
7	1013	6110	10	4256
8	205	1241	10	1071
9	152	919	10	780
10	166	1002	10	827
11	147	888	10	770
12	386	2328	10	1670
13	214	1292	10	1017
14	221	1335	10	990
15	225	1360	10	1087
16	161	973	10	785
17	148	895	10	753
18	565	3409	10	2431
19	157	947	10	773
20	161	973	10	818
21	139	839	10	694
22	172	1037	10	820
23	233	1409	10	1073
24	169	1019	10	791
25	161	973	10	842
26	612	3693	10	2646
27	181	1093	10	886
28	347	2093	10	1536
29	151	912	10	759
30	153	922	10	773
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
600	8	2445	4.82549	10	30	3	5	5	100	0.5	10	10	10	1438	100%	1124.5
no.	gen	evalFit	result	time(ms)
1	326	1970	10	1798
2	410	2474	10	1911
3	442	2667	10	1981
4	151	911	10	881
5	282	1699	10	1369
6	229	1382	10	1112
7	356	2149	10	1803
8	263	1588	10	1245
9	482	2908	10	2157
10	242	1464	10	1150
11	679	4095	10	3113
12	248	1497	10	1186
13	548	3307	10	2534
14	308	1861	10	1435
15	793	4781	10	3723
16	186	1123	10	973
17	133	803	10	738
18	217	1313	10	1097
19	231	1397	10	1171
20	173	1044	10	978
21	164	989	10	827
22	1016	6129	10	4541
23	540	3258	10	2538
24	154	931	10	791
25	166	1002	10	852
26	255	1538	10	1208
27	422	2548	10	2007
28	771	4650	10	3433
29	181	1093	10	901
30	933	5625	10	4134
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
600	8	2464	4.82549	10	30	3	5	5	100	0.5	10	10	10	2273	100%	1786.23
no.	gen	evalFit	result	time(ms)
1	225	1358	10	1505
2	254	1533	10	1414
3	246	1486	10	1190
4	204	1233	10	1064
5	212	1281	10	1134
6	356	2146	10	1731
7	244	1472	10	1158
8	332	2004	10	1589
9	194	1171	10	954
10	226	1365	10	1202
11	232	1402	10	1103
12	674	4066	10	2984
13	328	1979	10	1532
14	320	1933	10	1443
15	508	3065	10	2245
16	442	2668	10	1972
17	171	1031	10	908
18	347	2094	10	1560
19	209	1264	10	1010
20	451	2720	10	2037
21	211	1276	10	1021
22	1348	8128	10	5846
23	445	2684	10	2034
24	283	1707	10	1283
25	187	1128	10	1049
26	182	1097	10	1035
27	205	1240	10	1003
28	190	1147	10	903
29	624	3766	10	2758
30	351	2119	10	1716
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
600	8	2444	4.82549	10	30	3	5	5	100	0.5	10	10	10	2052	100%	1612.77
no.	gen	evalFit	result	time(ms)
1	128	776	9	1030
2	120	726	9	1006
3	115	697	9	780
4	128	772	9	772
5	113	684	9	647
6	111	671	9	682
7	128	775	9	771
8	149	899	9	856
9	127	769	9	742
10	146	882	9	846
11	220	1330	9	1135
12	140	849	9	789
13	129	779	9	777
14	193	1167	9	1044
15	137	831	9	798
16	133	806	9	813
17	111	673	9	655
18	164	989	9	869
19	125	757	9	717
20	123	743	9	701
21	169	1021	9	920
22	113	686	9	690
23	120	726	9	672
24	115	695	9	700
25	164	991	9	919
26	226	1366	9	1188
27	142	858	9	817
28	135	819	9	857
29	118	715	9	675
30	120	726	9	695
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
600	8	2460	5.36165	9	30	3	5	5	100	0.5	9	9	9	839	100%	818.767
no.	gen	evalFit	result	time(ms)
1	154	929	10	1079
