no.	gen	evalFit	result	time(ms)
1	19	120	7	3
2	16	102	7	2
3	16	100	7	3
4	45	275	7	9
5	16	100	7	4
6	14	88	7	3
7	14	89	7	2
8	14	89	7	4
9	18	112	7	3
10	13	82	7	2
11	19	118	7	3
12	117	709	7	20
13	22	136	7	4
14	25	154	7	4
15	11	71	7	2
16	17	106	7	4
17	16	100	7	3
18	16	102	7	3
19	22	138	7	4
20	17	107	7	3
21	15	95	7	3
22	15	96	7	4
23	18	114	7	3
24	24	149	7	5
25	14	88	7	3
26	12	77	7	2
27	20	125	7	3
28	15	95	7	3
29	20	124	7	4
30	15	94	7	3
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
60	20	118	4.30847	7	30	3	5	5	100	0.5	7	7	7	131	100%	3.93333
