no.	gen	evalFit	result	time(ms)
1	1066	6417	71	18300
2	1316	7929	71	20900
3	992	5974	71	16861
4	1301	7839	71	20742
5	1355	8162	71	22127
6	931	5610	71	16392
7	1028	6190	71	17952
8	905	5452	71	15577
9	1034	6230	71	17131
10	1501	9045	71	24038
11	1151	6933	71	19765
12	1201	7238	71	19164
13	1086	6544	71	17639
14	1101	6640	71	18239
15	995	5986	71	17237
16	1352	8145	71	22817
17	1132	6821	71	18687
18	960	5785	71	16123
19	1025	6173	71	17275
20	1364	8221	71	21573
21	1540	9280	71	24478
22	1261	7599	71	20990
23	1029	6197	71	17360
24	1120	6755	71	18476
25	1003	6040	71	16675
26	1201	7235	71	19602
27	1401	8443	71	22032
28	1092	6576	71	18860
29	1125	6779	71	18029
30	1001	6027	71	16411
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
2500	10	1600	4.42478	71	30	3	5	5	100	0.5	71	71	71	6942	100%	19048.4
