no.	gen	evalFit	result	time(ms)
1	2488	15003	53	2274
2	2090	12603	54	1696
3	1501	9055	54	1252
4	2488	15005	53	2041
5	1699	10248	54	1409
6	2488	15002	53	2041
7	2488	15002	53	2043
8	2488	15001	53	2030
9	2488	15001	53	2024
10	1402	8457	54	1128
11	2488	15004	52	2030
12	1396	8416	54	1131
13	837	5049	54	682
14	2120	12786	54	1760
15	1626	9808	54	1370
16	2488	15004	53	2062
17	2488	15002	53	2049
18	750	4524	54	592
19	1064	6416	54	894
20	2027	12225	54	1624
21	2488	15004	53	2023
22	1516	9144	54	1267
23	2248	13556	54	1862
24	2488	15004	53	2031
25	1872	11287	54	1520
26	706	4259	54	573
27	1903	11476	54	1560
28	2487	14998	54	2028
29	1063	6412	54	869
30	2488	15002	53	2059
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
400	20	118	3.72337	54	30	3	5	5	100	0.5	54	53.5667	52	11691	60%	1597.47
