no.	gen	evalFit	result	time(ms)
1	6629	39917	107	889759
2	7474	45004	106	954713
3	6303	37946	107	819095
4	6024	36261	107	802695
5	6185	37228	107	778791
6	6722	40478	107	800647
7	7473	45006	106	882875
8	7400	44562	107	881719
9	7084	42652	107	830403
10	6813	41026	107	804477
11	6260	37692	107	744013
12	6467	38930	107	763476
13	7198	43339	107	841346
14	7473	45002	106	858479
15	6994	42108	107	813569
16	7473	45004	106	854629
17	7475	45005	106	854352
18	7472	45003	106	855722
19	7425	44715	107	846071
20	7473	45003	106	850619
21	7473	45004	106	848700
22	7472	45004	106	848826
23	6107	36778	107	732724
24	6726	40493	107	785971
25	6778	40818	107	792634
26	6234	37528	107	759414
27	6809	41008	107	795763
28	6828	41125	107	792060
29	6853	41266	107	797249
30	7471	45005	106	856452
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
15000	5	6400	4.4041	107	30	3	5	5	100	0.5	107	106.667	106	41863	66.6667%	824575
