no.	gen	evalFit	result	time(ms)
1	17	106	4	4
2	15	94	4	3
3	14	90	4	3
4	15	95	4	3
5	19	120	4	4
6	13	82	4	3
7	15	95	4	3
8	14	88	4	2
9	16	100	4	3
10	17	108	4	4
11	14	88	4	3
12	16	100	4	3
13	17	106	4	3
14	15	94	4	3
15	14	88	4	3
16	13	82	4	3
17	14	88	4	2
18	12	76	4	2
19	15	94	4	3
20	13	84	4	2
21	13	82	4	3
22	15	94	4	4
23	12	76	4	3
24	16	100	4	4
25	12	77	4	3
26	23	142	4	5
27	17	106	4	3
28	13	84	4	3
29	11	70	4	2
30	16	100	4	3
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	10	97	3.14159	4	30	3	5	5	100	0.5	4	4	4	93	100%	3.06667
no.	gen	evalFit	result	time(ms)
1	14	88	4	4
2	14	89	4	3
3	15	94	4	3
4	12	76	4	2
5	11	70	4	2
6	16	100	4	4
7	15	96	4	4
8	15	96	4	3
9	13	82	4	3
10	19	119	4	4
11	14	88	4	3
12	15	94	4	3
13	11	70	4	3
14	10	64	4	3
15	14	88	4	4
16	18	112	4	5
17	15	94	4	4
18	14	88	4	3
19	14	88	4	3
20	13	83	4	4
21	17	106	4	4
22	19	118	4	5
23	15	94	4	4
24	13	82	4	3
25	16	100	4	4
26	14	88	4	4
27	14	89	4	3
28	16	101	4	5
29	16	100	4	4
30	14	90	4	4
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	10	97	3.14159	4	30	3	5	5	100	0.5	4	4	4	91	100%	3.56667
