no.	gen	evalFit	result	time(ms)
23	21	130	6	19
24	17	106	6	15
25	20	124	6	18
26	15	96	6	14
27	16	100	6	15
28	19	118	6	15
29	16	100	6	14
30	16	101	6	14
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	15	566	4.71239	6	30	3	5	5	100	0.5	6	6	6	113	100%	15.5
no.	gen	evalFit	result	time(ms)
1	20	125	6	17
2	20	124	6	15
3	18	112	6	17
4	17	107	6	14
5	16	100	6	13
6	18	112	6	16
7	17	108	6	15
8	16	100	6	13
9	18	114	6	13
10	14	88	6	11
11	18	112	6	14
12	18	112	6	15
13	17	106	6	16
14	16	101	6	15
15	19	118	6	18
16	15	94	6	16
17	17	106	6	17
18	17	108	6	16
19	16	100	6	13
20	17	106	6	14
21	17	106	6	14
22	18	113	6	16
23	16	102	6	17
24	17	106	6	17
25	17	107	6	15
26	15	94	6	14
27	16	100	6	17
28	17	107	6	15
29	17	107	6	16
30	16	100	6	15
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	15	580	4.71239	6	30	3	5	5	100	0.5	6	6	6	106	100%	15.1333
no.	gen	evalFit	result	time(ms)
1	5	34	3	5
2	5	34	3	6
3	7	46	3	8
4	6	42	3	6
5	7	48	3	9
6	4	28	3	5
7	6	40	3	7
8	7	46	3	8
9	5	34	3	6
10	5	35	3	6
11	6	40	3	8
12	6	40	3	8
13	7	46	3	9
14	7	46	3	10
15	8	54	3	11
16	4	29	3	7
17	5	34	3	7
18	5	35	3	8
19	5	34	3	7
20	6	40	3	7
21	5	34	3	7
22	5	34	3	6
23	5	36	3	6
24	6	41	3	8
25	6	40	3	8
26	6	40	3	9
27	4	28	3	7
28	6	41	3	9
29	7	47	3	12
30	5	34	3	8
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	15	588	9.42478	3	30	3	5	5	100	0.5	3	3	3	38	100%	7.6
no.	gen	evalFit	result	time(ms)
1	11	72	4	10
2	8	52	4	10
3	15	94	4	14
4	14	88	4	11
5	9	59	4	9
6	10	64	4	11
7	8	52	4	8
8	19	118	4	14
9	12	76	4	10
10	9	58	4	9
11	10	64	4	10
12	10	65	4	9
13	9	58	4	12
14	9	58	4	9
15	8	52	4	10
16	11	70	4	11
17	8	52	4	8
18	9	58	4	10
19	10	66	4	9
20	18	113	4	18
21	11	70	4	12
22	8	52	4	8
23	10	64	4	12
24	12	76	4	12
25	8	53	4	9
26	10	64	4	11
27	8	54	4	8
28	10	64	4	11
29	8	54	4	8
30	11	72	4	13
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	15	564	7.06858	4	30	3	5	5	100	0.5	4	4	4	67	100%	10.5333
no.	gen	evalFit	result	time(ms)
1	5	34	3	7
2	6	40	3	6
3	6	40	3	9
4	5	34	3	8
5	5	34	3	6
6	4	28	3	5
7	6	40	3	7
8	6	42	3	7
9	6	41	3	7
10	5	35	3	7
11	4	28	3	6
12	5	34	3	6
13	6	41	3	9
14	6	41	3	8
15	5	35	3	7
16	5	35	3	5
17	5	34	3	6
18	6	41	3	6
19	5	35	3	6
20	6	40	3	8
21	7	46	3	10
22	6	40	3	11
23	5	34	3	8
24	6	41	3	8
25	5	34	3	6
26	5	34	3	6
27	4	28	3	6
28	5	36	3	7
29	5	35	3	7
30	6	40	3	8
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	15	577	9.42478	3	30	3	5	5	100	0.5	3	3	3	36	100%	7.1
no.	gen	evalFit	result	time(ms)
1	6	40	3	7
2	6	41	3	6
3	5	36	3	6
4	6	41	3	9
5	5	34	3	5
6	4	28	3	5
7	6	40	3	9
8	5	34	3	7
9	5	34	3	8
10	5	34	3	7
11	5	34	3	7
12	5	34	3	7
13	7	47	3	10
14	5	36	3	7
15	5	34	3	7
16	4	28	3	5
17	7	48	3	9
18	5	34	3	8
19	4	28	3	6
20	6	40	3	8
21	7	48	3	9
22	4	29	3	5
23	6	42	3	9
24	7	47	3	10
25	8	53	3	9
26	6	40	3	8
27	4	28	3	7
28	7	46	3	8
29	5	34	3	5
30	6	41	3	8
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	15	598	9.42478	3	30	3	5	5	100	0.5	3	3	3	37	100%	7.36667
no.	gen	evalFit	result	time(ms)
1	5	34	3	7
2	6	41	3	6
3	4	28	3	6
4	6	40	3	7
5	3	22	3	4
6	6	42	3	8
7	10	64	3	10
8	5	35	3	8
9	5	34	3	8
10	6	40	3	10
11	6	42	3	10
12	6	40	3	9
13	5	34	3	8
14	5	35	3	7
15	4	28	3	6
16	6	40	3	9
17	6	40	3	9
18	7	47	3	10
19	6	40	3	10
20	4	28	3	6
21	8	52	3	12
22	6	42	3	10
23	10	65	3	19
24	5	34	3	8
25	5	35	3	8
26	6	41	3	9
27	7	46	3	11
28	7	46	3	10
29	10	66	3	14
30	6	40	3	10
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
100	15	583	9.42478	3	30	3	5	5	100	0.5	3	3	3	40	100%	8.96667
no.	gen	evalFit	result	time(ms)
1	4	28	3	6
2	5	35	3	7
3	5	34	3	5
4	5	36	3	6
5	4	28	3	5
6	4	28	3	5
7	5	34	3	5
8	6	40	3	6
9	5	34	3	6
10	5	34	3	6
11	5	34	3	5
12	6	41	3	7
13	4	28	3	5
14	4	29	3	5
15	5	35	3	6
16	5	35	3	6
17	5	36	3	6
18	6	40	3	7
19	5	36	3	6
