no.	gen	evalFit	result	time(ms)
1	534	3217	37	4159
2	446	2690	37	3262
3	436	2629	37	3235
4	557	3355	37	3847
5	693	4171	37	4697
6	430	2589	37	3191
7	580	3494	37	4112
8	702	4232	37	4820
9	459	2764	37	3570
10	541	3258	37	3916
11	476	2865	37	3451
12	489	2944	37	3577
13	781	4709	37	5415
14	746	4497	37	4977
15	648	3904	37	4553
16	601	3624	37	4264
17	474	2853	37	3510
18	439	2643	37	3250
19	463	2787	37	3362
20	483	2909	37	3608
21	512	3088	37	3700
22	577	3473	37	4156
23	643	3879	37	4457
24	604	3638	37	4247
25	509	3068	37	3658
26	541	3260	37	3901
27	477	2878	37	3542
28	436	2627	37	3278
29	499	3000	37	3617
30	475	2859	37	3496
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
1200	10	1600	4.07558	37	30	3	5	5	100	0.5	37	37	37	3263	100%	3894.27
