no.	gen	evalFit	result	time(ms)
1	9967	60001	369	1792249
2	9968	60004	368	1794110
3	9967	60002	366	1797661
4	9965	60001	368	1789124
5	9968	60003	367	1789562
6	9967	60004	366	1796991
7	9967	60002	369	1787818
8	9966	60003	369	1790818
9	9967	60006	367	1797551
10	9964	60003	369	1796633
11	9967	60001	368	1796573
12	9964	60002	369	1789063
13	9967	60003	369	1803531
14	9966	60001	368	1798490
15	9967	60004	369	1792276
16	9967	60004	369	1792625
17	9949	59899	370	1790681
18	9966	60005	368	1801470
19	9964	60003	369	1802343
20	9967	60004	368	1797806
21	9911	59668	370	1787240
22	9965	60002	366	1795706
23	9968	60005	368	1799968
24	9965	60004	368	1808708
25	9966	60001	369	1796911
26	9965	60006	368	1826527
27	9966	60002	369	1826473
28	9962	60001	367	1816882
29	9967	60003	368	1817969
30	9966	60003	369	1825056
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
20000	8	2500	4.34728	370	30	3	5	5	100	0.5	370	368.233	366	59988	6.66667%	1.79996e+06
