no.	gen	evalFit	result	time(ms)
1	4	28	3	1
2	4	28	3	1
3	5	36	3	1
4	5	34	3	0
5	5	34	3	1
6	5	34	3	2
7	4	28	3	1
8	4	28	3	1
9	4	28	3	1
10	6	40	3	1
11	5	35	3	1
12	5	34	3	1
13	5	34	3	1
14	5	35	3	2
15	4	28	3	1
16	3	22	3	0
17	5	34	3	0
18	4	28	3	0
19	4	29	3	1
20	4	29	3	1
21	5	34	3	1
22	4	28	3	1
23	5	34	3	2
24	5	34	3	1
25	5	34	3	1
26	5	35	3	1
27	5	34	3	1
28	4	28	3	1
29	4	28	3	1
30	5	34	3	1
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
70	15	90	6.59734	3	30	3	5	5	100	0.5	3	3	3	31	100%	0.966667
