no.	gen	evalFit	result	time(ms)
1	317	1911	19	2662
2	415	2502	19	2754
3	333	2011	19	2451
4	323	1947	19	2501
5	299	1801	19	2124
6	334	2013	19	2371
7	336	2025	19	2387
8	425	2563	19	2891
9	315	1901	19	2242
10	310	1869	19	2323
11	314	1893	19	2316
12	383	2311	19	2685
13	319	1924	19	2402
14	339	2041	19	2404
15	334	2016	19	2411
16	314	1897	19	2324
17	324	1953	19	2369
18	405	2447	19	2833
19	379	2284	19	2717
20	459	2768	19	3252
21	334	2015	19	2586
22	436	2629	19	3156
23	483	2909	19	3232
24	318	1920	19	2301
25	307	1852	19	2554
26	310	1872	19	2368
27	347	2093	19	2479
28	330	1992	19	2343
29	316	1904	19	2355
30	316	1906	19	2413
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
1000	8	2500	4.23288	19	30	3	5	5	100	0.5	19	19	19	2105	100%	2540.2
