no.	gen	evalFit	result	time(ms)
1	629	3790	32	6457
2	662	3986	32	6413
3	578	3481	32	5768
4	737	4444	32	7096
5	659	3968	32	6495
6	634	3819	32	6325
7	688	4145	32	6871
8	649	3909	32	6859
9	592	3565	32	5991
10	637	3841	32	6384
11	625	3765	32	6311
12	703	4236	32	6782
13	700	4214	32	6600
14	651	3919	32	7123
15	685	4122	32	6700
16	822	4957	32	7612
17	634	3817	32	6183
18	722	4352	32	7191
19	667	4016	32	6575
20	616	3714	32	6326
21	616	3710	32	6305
22	735	4424	32	7376
23	736	4435	32	7017
24	797	4802	32	7505
25	608	3664	32	6287
26	800	4820	32	7597
27	559	3368	32	5755
28	676	4072	32	6491
29	625	3765	32	6486
30	594	3574	32	6144
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
1500	8	2500	3.76991	32	30	3	5	5	100	0.5	32	32	32	4023	100%	6634.17
