no.	gen	evalFit	result	time(ms)
1	2	16	2	1
2	2	16	2	1
3	2	16	2	1
4	2	16	2	1
5	1	10	2	0
6	2	17	2	1
7	2	16	2	1
8	2	16	2	0
9	1	11	2	1
10	2	16	2	0
11	2	16	2	1
12	2	16	2	0
13	2	16	2	1
14	2	16	2	0
15	2	18	2	1
16	2	16	2	0
17	2	16	2	1
18	2	17	2	0
19	2	16	2	0
20	2	17	2	0
21	2	16	2	0
22	1	12	2	0
23	1	10	2	0
24	2	16	2	0
25	2	18	2	0
26	2	16	2	1
27	1	12	2	0
28	3	22	2	1
29	3	22	2	1
30	2	16	2	0
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
60	15	90	8.4823	2	30	3	5	5	100	0.5	2	2	2	15	100%	0.466667
