no.	gen	evalFit	result	time(ms)
1	10	65	2	42
2	10	64	2	45
3	8	52	2	37
4	17	108	2	71
5	9	58	2	40
6	10	66	2	45
7	8	52	2	40
8	8	52	2	39
9	8	52	2	36
10	6	40	2	32
11	13	82	2	61
12	8	52	2	43
13	12	76	2	54
14	8	52	2	30
15	13	82	2	49
16	11	70	2	49
17	10	64	2	38
18	10	64	2	40
19	10	64	2	42
20	10	64	2	41
21	9	58	2	39
22	8	53	2	37
23	9	59	2	37
24	9	58	2	38
25	8	52	2	35
26	8	52	2	36
27	6	41	2	27
28	8	53	2	36
29	11	70	2	50
30	9	58	2	41
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
250	8	1947	10.0531	2	30	3	5	5	100	0.5	2	2	2	61	100%	41.6667
no.	gen	evalFit	result	time(ms)
1	8	52	2	7
2	10	64	2	9
3	11	70	2	9
4	7	46	2	7
5	13	82	2	10
6	9	58	2	9
7	8	52	2	8
8	8	52	2	10
9	8	54	2	14
10	7	46	2	6
11	7	46	2	7
12	8	52	2	6
13	7	46	2	5
14	8	52	2	6
15	10	64	2	8
16	8	52	2	7
17	8	53	2	10
18	10	64	2	8
19	9	58	2	7
20	9	60	2	7
21	10	65	2	8
22	20	124	2	16
23	15	94	2	12
24	6	40	2	5
25	9	58	2	7
26	15	94	2	12
27	12	76	2	9
28	5	34	2	4
29	7	46	2	6
30	12	76	2	10
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
250	8	1947	10.0531	2	30	3	5	5	100	0.5	2	2	2	61	100%	8.3
no.	gen	evalFit	result	time(ms)
1	9	58	2	9
2	9	58	2	12
3	6	40	2	9
4	11	70	2	16
5	9	58	2	13
6	8	52	2	9
7	13	83	2	13
8	7	47	2	8
9	9	58	2	9
10	7	47	2	6
11	9	58	2	9
12	12	76	2	12
13	9	58	2	8
14	10	64	2	9
15	7	46	2	6
16	11	70	2	10
17	7	46	2	9
18	9	58	2	8
19	6	40	2	9
20	7	46	2	8
21	8	52	2	8
22	10	64	2	11
23	11	70	2	10
24	7	46	2	6
25	7	46	2	7
26	11	70	2	13
27	8	54	2	9
28	9	58	2	10
29	22	136	2	22
30	11	70	2	10
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
250	8	1947	10.0531	2	30	3	5	5	100	0.5	2	2	2	59	100%	9.93333
no.	gen	evalFit	result	time(ms)
1	11	71	2	9
2	8	52	2	6
3	8	53	2	7
4	7	46	2	7
5	13	82	2	11
6	9	58	2	8
7	8	52	2	6
8	8	52	2	7
9	17	106	2	13
10	15	95	2	13
11	11	70	2	13
12	9	58	2	12
13	7	46	2	10
14	10	65	2	8
15	14	90	2	11
16	10	66	2	8
17	11	70	2	8
18	9	60	2	10
19	10	64	2	8
20	6	40	2	5
21	9	60	2	7
22	9	60	2	8
23	8	52	2	7
24	11	70	2	12
25	9	60	2	10
26	7	46	2	6
27	13	82	2	10
28	10	65	2	8
29	12	76	2	9
30	9	60	2	8
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
250	8	1947	10.0531	2	30	3	5	5	100	0.5	2	2	2	64	100%	8.83333
no.	gen	evalFit	result	time(ms)
1	11	70	2	8
2	7	48	2	5
3	7	46	2	5
4	13	82	2	9
5	9	58	2	6
6	7	46	2	6
7	9	59	2	6
8	8	54	2	6
9	11	70	2	7
10	7	46	2	5
11	10	64	2	7
12	7	46	2	5
13	8	52	2	6
14	9	58	2	6
15	9	58	2	7
16	8	52	2	6
17	6	42	2	5
18	7	46	2	5
19	12	77	2	8
20	11	72	2	8
21	12	78	2	8
22	15	94	2	10
23	11	70	2	8
24	8	52	2	5
25	7	46	2	5
26	8	52	2	6
27	7	46	2	5
28	10	64	2	7
29	10	66	2	7
30	9	58	2	7
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
250	8	1947	10.0531	2	30	3	5	5	100	0.5	2	2	2	59	100%	6.46667
no.	gen	evalFit	result	time(ms)
1	16	100	2	11
2	10	64	2	7
3	11	70	2	8
4	10	64	2	7
5	12	76	2	8
6	14	88	2	9
7	10	64	2	6
8	7	47	2	5
9	19	118	2	12
10	11	70	2	8
11	10	64	2	7
12	8	52	2	6
13	15	94	2	9
14	10	64	2	7
15	19	118	2	12
16	13	82	2	11
17	9	58	2	8
18	9	58	2	6
19	11	72	2	7
20	10	65	2	7
21	7	46	2	5
22	8	54	2	5
23	9	58	2	6
24	9	58	2	5
25	14	88	2	9
26	12	76	2	8
27	7	46	2	6
28	10	64	2	7
29	10	64	2	9
30	8	52	2	6
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
250	8	1947	10.0531	2	30	3	5	5	100	0.5	2	2	2	69	100%	7.56667
