no.	gen	evalFit	result	time(ms)
1	12126	73022	451	2882193
2	12454	75002	450	3065503
3	12456	75005	448	3059380
4	12077	72697	451	2899988
5	12457	75001	450	2967317
6	12455	75005	450	2987032
7	12455	75005	450	2980784
8	12455	75003	448	2966551
9	12456	75005	450	2984847
10	12456	75004	450	2976658
11	11872	71481	451	2837836
12	12457	75004	449	2988832
13	12455	75001	449	2985069
14	12455	75004	450	2992041
15	12105	72866	451	2966702
16	12454	75003	450	3147748
17	12456	75005	449	2991158
18	12456	75002	450	2989215
19	12002	72237	451	2875345
20	11005	66259	451	2647307
21	12459	75005	449	2986652
22	12458	75002	449	2982130
23	11301	68028	451	2717778
24	12459	75001	450	2967437
25	11466	69032	451	2758641
26	11602	69850	451	2790802
27	12454	75004	449	2954601
28	12001	72248	451	2883828
29	12457	75005	449	2978009
30	12458	75003	448	2982859
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
25000	8	2500	4.45814	451	30	3	5	5	100	0.5	451	449.9	448	73592	33.3333%	2.93981e+06
no.	gen	evalFit	result	time(ms)
1	12457	75006	369	2600316
2	12456	75001	369	2605816
3	12457	75004	369	2598324
4	12001	72256	370	2529173
5	12456	75003	369	2605673
6	12452	75001	368	2611330
7	12454	75006	368	2596019
8	12243	73733	370	2571302
9	12456	75001	369	2612381
10	12135	73077	370	2543407
11	12454	75005	369	2596188
12	12455	75003	369	2602007
13	10947	65892	370	2291082
14	12457	75004	369	2599659
15	12455	75001	369	2597854
16	12453	75001	369	2615307
17	12456	75006	369	2605524
18	12202	73487	370	2551109
19	12456	75001	368	2608151
20	12456	75002	369	2602856
21	12452	75001	369	2609768
22	12456	75005	369	2604691
23	12458	75006	367	2609846
24	12454	75005	369	2613353
25	11775	70902	370	2492662
26	12455	75002	369	2615263
27	12250	73775	370	2569721
28	10183	61301	370	2170553
29	12456	75003	369	2609322
30	12452	75003	367	2605264
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
25000	8	2500	5.43411	370	30	3	5	5	100	0.5	370	369.033	367	73816	26.6667%	2.56813e+06
