no.	gen	evalFit	result	time(ms)
1	29	178	5	83
2	30	184	5	75
3	38	232	5	93
4	302	1825	5	660
5	203	1229	5	426
6	27	166	5	58
7	47	286	5	100
8	28	172	5	69
9	73	444	5	146
10	605	3653	5	1368
11	403	2434	5	864
12	103	627	5	215
13	201	1216	5	384
14	29	178	5	61
15	29	178	5	55
16	705	4255	5	1255
17	604	3646	5	1080
18	42	256	5	80
19	701	4232	5	1189
20	2488	15004	4	4166
21	39	240	5	77
22	501	3025	5	821
23	501	3025	5	915
24	203	1229	5	361
25	31	191	5	56
26	120	727	5	190
27	29	178	5	58
28	117	709	5	207
29	44	268	5	78
30	403	2434	5	713
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
200	10	1358	5.02655	5	30	3	5	5	100	0.5	5	4.96667	4	1747	96.6667%	530.1
no.	gen	evalFit	result	time(ms)
1	39	238	5	100
2	1406	8482	5	2862
3	31	191	5	56
4	132	800	5	264
5	132	799	5	245
6	204	1234	5	321
7	32	197	5	59
8	231	1396	5	405
9	27	167	5	51
10	105	637	5	187
11	31	191	5	57
12	103	625	5	177
13	701	4232	5	1133
14	1072	6466	5	1928
15	30	184	5	67
16	148	895	5	275
17	30	184	5	55
18	30	184	5	54
19	25	154	5	46
20	42	256	5	76
21	2302	13885	5	3843
22	302	1826	5	520
23	29	179	5	57
24	32	196	5	58
25	401	2422	5	741
26	501	3027	5	891
27	403	2434	5	743
28	605	3652	5	1042
29	31	190	5	60
30	801	4835	5	1327
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
200	10	1358	5.02655	5	30	3	5	5	100	0.5	5	5	5	2005	100%	590
