no.	gen	evalFit	result	time(ms)
1	99	600	13	43
2	95	574	13	44
3	108	653	13	59
4	109	661	13	57
5	117	710	13	60
6	104	632	13	47
7	112	679	13	59
8	89	540	13	48
9	98	592	13	56
10	118	715	13	65
11	97	586	13	49
12	115	697	13	59
13	115	697	13	59
14	107	649	13	52
15	117	708	13	54
16	116	703	13	54
17	98	592	13	50
18	111	672	13	54
19	93	562	13	50
20	105	637	13	58
21	107	648	13	53
22	98	593	13	44
23	118	717	13	58
24	109	662	13	46
25	123	745	13	53
26	119	721	13	55
27	105	638	13	44
28	105	636	13	44
29	110	667	13	49
30	124	751	13	64
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
300	10	97	2.89993	13	30	3	5	5	100	0.5	13	13	13	654	100%	52.9
