no.	gen	evalFit	result	time(ms)
1	1202	7252	24	537
2	912	5503	24	349
3	1002	6046	24	430
4	861	5195	24	343
5	873	5267	24	327
6	147	889	24	59
7	146	883	24	51
8	762	4597	24	289
9	1203	7259	24	428
10	204	1236	24	71
11	812	4900	24	281
12	975	5882	24	345
13	1201	7246	24	424
14	717	4328	24	255
15	135	818	24	51
16	132	799	24	48
17	155	937	24	55
18	541	3265	24	193
19	140	849	24	51
20	1079	6508	24	385
21	125	757	24	46
22	181	1093	24	70
23	310	1873	24	112
24	539	3254	24	189
25	312	1885	24	108
26	184	1111	24	67
27	111	673	24	40
28	271	1634	24	96
29	243	1469	24	86
30	387	2336	24	132
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
180	20	118	3.76991	24	30	3	5	5	100	0.5	24	24	24	3191	100%	197.267
