no.	gen	evalFit	result	time(ms)
1	338	2039	30	2819
2	401	2417	30	2468
3	356	2145	30	2242
4	384	2313	30	2384
5	356	2146	30	2244
6	401	2417	30	2492
7	352	2122	30	2199
8	383	2306	30	2320
9	393	2368	30	2384
10	361	2173	30	2207
11	371	2233	30	2253
12	330	1989	30	2076
13	348	2099	30	2235
14	477	2876	30	2780
15	348	2096	30	2227
16	358	2159	30	2252
17	345	2083	30	2150
18	414	2493	30	2646
19	370	2228	30	2514
20	502	3027	30	2886
21	365	2201	30	2498
22	424	2556	30	2682
23	346	2084	30	2248
24	458	2759	30	2920
25	350	2109	30	2242
26	394	2376	30	2504
27	485	2921	30	3013
28	402	2426	30	2637
29	376	2264	30	2426
30	370	2226	30	2276
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
1000	10	1599	4.18879	30	30	3	5	5	100	0.5	30	30	30	2321	100%	2440.8
