no.	gen	evalFit	result	time(ms)
1	1151	6942	39	790
2	1328	8006	39	885
3	297	1792	39	204
4	770	4645	39	461
5	288	1737	39	173
6	1056	6368	39	608
7	1002	6043	39	572
8	367	2212	39	220
9	714	4307	39	407
10	935	5640	39	524
11	1439	8682	39	814
12	779	4697	39	443
13	496	2990	39	295
14	533	3215	39	302
15	419	2530	39	242
16	223	1349	39	128
17	1193	7195	39	683
18	642	3872	39	373
19	507	3059	39	304
20	659	3975	39	389
21	503	3037	39	297
22	1536	9263	39	881
23	613	3698	39	341
24	604	3646	39	344
25	613	3699	39	361
26	969	5846	39	544
27	1349	8137	39	799
28	521	3144	39	358
29	478	2883	39	383
30	1602	9660	39	950
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
300	20	118	3.86658	39	30	3	5	5	100	0.5	39	39	39	4742	100%	469.167
