no.	gen	evalFit	result	time(ms)
1	31	190	9	64
2	31	190	9	59
3	26	160	9	55
4	29	178	9	58
5	41	251	9	81
6	29	179	9	57
7	31	190	9	51
8	30	184	9	58
9	32	196	9	71
10	28	172	9	50
11	32	196	9	51
12	31	190	9	51
13	33	202	9	57
14	36	222	9	86
15	37	226	9	72
16	29	178	9	54
17	32	196	9	60
18	26	162	9	47
19	31	191	9	52
20	28	172	9	48
21	31	191	9	50
22	32	197	9	56
23	37	227	9	72
24	34	208	9	66
25	28	172	9	51
26	31	190	9	57
27	32	196	9	64
28	32	196	9	53
29	30	184	9	48
30	32	196	9	52
N	R	field	yita	Up	TRIAL	pop	K1	K2	Gm	MUI	best	mean	worst	evalFit	ok%	avgT(ms)
200	15	666	6.28319	9	30	3	5	5	100	0.5	9	9	9	192	100%	58.3667
